-0.02500,-0.12200,-0.09700,0.07300,0.03600,-0.10900,0.05600,0.01500,-0.01700,-0.00600,0.00600,-0.00300
-0.03900,-0.10200,-0.06300,0.07100,0.01200,-0.08200,0.04500,0.00500,-0.02700,-0.01700,-0.00100,-0.00900
-0.05700,-0.08700,-0.03000,0.07200,-0.01300,-0.05800,0.03700,-0.00300,-0.03800,-0.03000,-0.00800,-0.01500
-0.05000,-0.08200,-0.03200,0.06600,-0.00900,-0.05700,0.03100,-0.01100,-0.03400,-0.03600,-0.01300,-0.02100
-0.05200,-0.06900,-0.01700,0.06100,-0.01700,-0.04300,0.02300,-0.01800,-0.03800,-0.03400,-0.02100,-0.02600
-0.05200,-0.06700,-0.01500,0.06000,-0.01800,-0.04100,0.01600,-0.02400,-0.05600,-0.03900,-0.03300,-0.03200
-0.02900,-0.03200,-0.00300,0.03100,-0.01300,-0.01700,0.00900,-0.03300,-0.06600,-0.05500,-0.04600,-0.03800
-0.02600,-0.02600,0.00000,0.02600,-0.01300,-0.01300,0.00400,-0.03800,-0.06400,-0.05500,-0.05000,-0.04100
-0.05500,-0.03500,0.02000,0.04500,-0.03700,-0.00700,-0.00200,-0.04700,-0.06700,-0.05600,-0.05200,-0.03900
-0.05800,0.00600,0.06400,0.02500,-0.06100,0.03500,-0.00500,-0.06300,-0.08200,-0.07300,-0.05500,-0.04100
-0.05600,0.00900,0.06500,0.02300,-0.06100,0.03700,-0.01000,-0.06600,-0.08700,-0.07500,-0.05800,-0.03900
-0.04800,0.01700,0.06500,0.01500,-0.05700,0.04000,-0.01500,-0.06400,-0.08300,-0.07600,-0.06100,-0.04300
-0.03600,0.02900,0.06500,0.00300,-0.05100,0.04700,-0.01200,-0.06500,-0.08000,-0.08000,-0.05600,-0.05900
-0.04900,0.01800,0.06700,0.01500,-0.05800,0.04200,-0.00800,-0.06500,-0.08500,-0.08000,-0.05500,-0.06100
-0.05900,0.01900,0.07700,0.01900,-0.06800,0.04800,-0.00400,-0.06400,-0.08500,-0.08000,-0.05500,-0.05900
-0.06000,0.01400,0.07400,0.02300,-0.06700,0.04400,-0.00100,-0.06000,-0.08600,-0.08000,-0.05500,-0.05600
-0.06400,0.00700,0.07100,0.02900,-0.06700,0.03900,0.00500,-0.05400,-0.08500,-0.08000,-0.05500,-0.05500
-0.04100,0.02800,0.06900,0.00600,-0.05600,0.04900,0.00300,-0.05400,-0.08500,-0.07600,-0.05400,-0.05400
-0.05700,0.00500,0.06200,0.02600,-0.06000,0.03300,-0.00900,-0.04700,-0.10000,-0.07000,-0.04900,-0.04700
-0.06100,0.01600,0.07700,0.02200,-0.06900,0.04600,-0.01000,-0.04600,-0.09600,-0.06400,-0.04400,-0.04200
-0.03000,0.07700,0.10700,-0.02400,-0.06800,0.09200,0.00000,-0.05100,-0.08300,-0.05900,-0.04100,-0.03600
-0.04300,0.08500,0.12800,-0.02100,-0.08500,0.10600,0.00200,-0.03800,-0.05600,-0.04300,-0.03500,-0.03100
-0.00300,0.11900,0.12200,-0.05900,-0.06200,0.12000,0.01100,-0.01200,-0.02700,-0.02800,-0.02600,-0.02700
0.04100,0.15900,0.11700,-0.10000,-0.03800,0.13800,-0.00600,-0.01600,-0.03800,-0.03400,-0.02300,-0.02500
0.03100,0.13800,0.10800,-0.08500,-0.03900,0.12200,-0.08000,-0.08500,-0.07800,-0.06700,-0.05200,-0.04900
-0.02000,0.08500,0.10500,-0.03300,-0.06300,0.09500,-0.08200,-0.11300,-0.11600,-0.09800,-0.07700,-0.06600
-0.04100,0.06400,0.10500,-0.01200,-0.07300,0.08400,-0.05300,-0.09800,-0.10500,-0.08000,-0.06200,-0.05300
-0.05400,0.04000,0.09400,0.00700,-0.07400,0.06700,-0.05100,-0.09900,-0.12400,-0.10600,-0.08100,-0.07600
-0.08300,0.04100,0.12400,0.02000,-0.10400,0.08300,-0.04200,-0.08900,-0.12100,-0.11000,-0.07800,-0.08500
-0.08700,0.00700,0.09400,0.04000,-0.09100,0.05000,-0.03500,-0.08600,-0.11200,-0.10800,-0.09200,-0.09600
-0.10400,-0.01500,0.08900,0.06000,-0.09600,0.03700,-0.03000,-0.07900,-0.11300,-0.09000,-0.08000,-0.08400
-0.11200,-0.04600,0.06600,0.07900,-0.08900,0.00900,-0.01900,-0.06300,-0.07500,-0.08500,-0.08500,-0.09500
-0.11300,-0.00600,0.10700,0.05900,-0.11000,0.05000,-0.00900,-0.03300,-0.06900,-0.09100,-0.09000,-0.07900
-0.06100,0.10000,0.16100,-0.02000,-0.11100,0.13000,0.00300,0.01300,0.10300,0.07700,0.04800,0.01500
0.13300,0.20500,0.07200,-0.16900,0.03000,0.13800,0.01000,0.17500,0.37700,0.33500,0.25400,0.16900
0.63300,0.59900,-0.03500,-0.61600,0.33400,0.28200,-0.30900,-0.01600,0.83000,0.90700,0.69900,0.55700
0.64000,0.52100,-0.11800,-0.58000,0.37900,0.20100,-0.78400,-0.86700,0.28600,0.60600,0.50000,0.44600
0.06700,0.13200,0.06500,-0.09900,0.00100,0.09800,-0.64100,-0.96200,-0.75800,-0.29900,-0.11600,-0.00400
-0.06400,0.07300,0.13600,-0.00400,-0.10100,0.10400,-0.16900,-0.20800,-0.38700,-0.21300,-0.10800,-0.07000
-0.06400,0.01500,0.07900,0.02400,-0.07100,0.04700,-0.03900,-0.00100,-0.06700,-0.07700,-0.07500,-0.08700
-0.08300,0.03800,0.12100,0.02200,-0.10200,0.07900,-0.04700,-0.06900,-0.11900,-0.09300,-0.07500,-0.07600
-0.06100,0.05000,0.11200,0.00500,-0.08700,0.08100,-0.03500,-0.05100,-0.05200,-0.06600,-0.05500,-0.06900
-0.08500,0.04700,0.13100,0.01800,-0.10800,0.08900,-0.04300,-0.06200,-0.08800,-0.08900,-0.06500,-0.06800
-0.06800,0.05500,0.12200,0.00600,-0.09500,0.08800,-0.03200,-0.04800,-0.04500,-0.06400,-0.04000,-0.05600
-0.07900,0.04600,0.12500,0.01600,-0.10200,0.08500,-0.03000,-0.05200,-0.06200,-0.08300,-0.05500,-0.06900
-0.05400,0.07300,0.12700,-0.01000,-0.09100,0.10000,-0.02300,-0.04300,-0.04500,-0.06500,-0.05700,-0.06300
-0.03700,0.08400,0.12100,-0.02400,-0.07900,0.10200,-0.01800,-0.04200,-0.04300,-0.06900,-0.05900,-0.06300
-0.03700,0.08500,0.12200,-0.02400,-0.08000,0.10300,-0.01200,-0.03400,-0.03900,-0.06300,-0.05000,-0.05500
-0.03000,0.08700,0.11700,-0.02900,-0.07400,0.10200,-0.01000,-0.02700,-0.02900,-0.05800,-0.04800,-0.05300
-0.02800,0.08900,0.11700,-0.03100,-0.07200,0.10300,-0.02500,-0.02200,-0.02700,-0.05700,-0.04200,-0.04700
-0.02100,0.09300,0.11400,-0.03600,-0.06800,0.10300,-0.02600,-0.01300,-0.01400,-0.05100,-0.03800,-0.04300
-0.03500,0.07500,0.11100,-0.02000,-0.07300,0.09300,-0.01900,-0.00900,-0.01300,-0.04700,-0.03000,-0.04000
-0.03500,0.06500,0.10000,-0.01500,-0.06800,0.08200,-0.00700,0.00700,-0.00100,-0.03900,-0.02100,-0.03500
-0.00400,0.08400,0.08800,-0.04000,-0.04600,0.08500,0.00100,0.02500,0.00600,-0.03800,-0.01800,-0.03300
-0.01200,0.09700,0.11000,-0.04300,-0.06200,0.10300,-0.00900,0.02400,0.02100,-0.03100,-0.01400,-0.02800
-0.03700,0.10200,0.13900,-0.03300,-0.08800,0.12000,-0.03200,0.02700,0.04800,-0.01700,-0.01100,-0.02500
-0.01500,0.11700,0.13200,-0.05100,-0.07300,0.12400,-0.05900,0.03800,0.06100,-0.00400,-0.00700,-0.02100
0.02200,0.14300,0.12100,-0.08200,-0.05000,0.13200,-0.06100,0.04100,0.07200,0.00800,-0.00300,-0.01200
0.03100,0.14800,0.11700,-0.08900,-0.04300,0.13200,-0.05900,0.05500,0.09600,0.01700,0.00700,-0.00600
0.03800,0.15700,0.11900,-0.09700,-0.04100,0.13800,-0.06300,0.07300,0.13100,0.03100,0.02000,0.00100
0.06200,0.18300,0.12100,-0.12200,-0.03000,0.15100,-0.07500,0.08600,0.15800,0.05200,0.03200,0.01200
0.08600,0.20500,0.11900,-0.14500,-0.01700,0.16200,-0.10100,0.10100,0.17400,0.06100,0.04600,0.02500
0.09600,0.21600,0.12000,-0.15600,-0.01200,0.16800,-0.13000,0.09600,0.19200,0.06700,0.05400,0.03500
0.13400,0.25500,0.12100,-0.19500,0.00600,0.18800,-0.15500,0.09300,0.19700,0.07400,0.05600,0.04000
0.17100,0.27800,0.10700,-0.22500,0.03200,0.19200,-0.16700,0.08700,0.19300,0.06800,0.06500,0.05300
0.18900,0.28300,0.09300,-0.23600,0.04800,0.18800,-0.18600,0.05000,0.18600,0.06000,0.06600,0.05700
0.20000,0.31800,0.11900,-0.25900,0.04000,0.21800,-0.19700,0.03100,0.17300,0.05200,0.05400,0.05500
0.13500,0.29500,0.16000,-0.21600,-0.01300,0.22800,-0.17100,0.02700,0.15400,0.04500,0.04600,0.05300
0.07800,0.24500,0.16700,-0.16100,-0.04500,0.20600,-0.11900,0.01200,0.09700,0.03400,0.03400,0.02200
0.05000,0.20300,0.15200,-0.12700,-0.05100,0.17800,-0.08300,0.00300,0.04300,0.00800,0.01100,-0.01500
0.02100,0.16900,0.14800,-0.09500,-0.06400,0.15800,-0.06300,-0.01100,0.00400,-0.01700,-0.01800,-0.03700
-0.01100,0.16400,0.17400,-0.07700,-0.09300,0.16900,-0.04400,-0.03600,-0.04100,-0.05300,-0.04700,-0.06500
-0.02900,0.16800,0.19600,-0.07000,-0.11300,0.18200,-0.04000,-0.05700,-0.06400,-0.07500,-0.05800,-0.08300
-0.03300,0.17000,0.20300,-0.06900,-0.11800,0.18600,-0.03500,-0.06400,-0.09100,-0.07900,-0.06700,-0.08300
-0.05300,0.17600,0.22800,-0.06200,-0.14100,0.20200,-0.03300,-0.07800,-0.09600,-0.09000,-0.08000,-0.09300
-0.03900,0.17200,0.21100,-0.06700,-0.12500,0.19100,-0.02800,-0.08900,-0.09600,-0.10000,-0.08000,-0.10500
-0.04600,0.16300,0.20900,-0.05800,-0.12800,0.18500,-0.02600,-0.08300,-0.11500,-0.10500,-0.08000,-0.10500
-0.08300,0.15300,0.23600,-0.03500,-0.16000,0.19400,-0.02700,-0.07900,-0.11300,-0.10500,-0.08000,-0.10600
-0.07200,0.14000,0.21200,-0.03400,-0.14200,0.17500,-0.03300,-0.07400,-0.10800,-0.10700,-0.08000,-0.10900
-0.03000,0.18100,0.21100,-0.07600,-0.12100,0.19600,-0.04200,-0.07100,-0.10700,-0.11100,-0.08000,-0.11100
-0.01600,0.20500,0.22100,-0.09500,-0.11800,0.21300,-0.03800,-0.06400,-0.10000,-0.11000,-0.07900,-0.10800
-0.03400,0.19700,0.23000,-0.08200,-0.13200,0.21300,-0.03200,-0.06600,-0.10200,-0.10700,-0.08400,-0.10500
-0.05200,0.20500,0.25800,-0.07700,-0.15600,0.23100,-0.02400,-0.08800,-0.11300,-0.10200,-0.08800,-0.10500
-0.04000,0.20400,0.24400,-0.08200,-0.14300,0.22400,-0.04600,-0.08300,-0.11100,-0.09900,-0.09300,-0.10500
-0.03400,0.20600,0.24000,-0.08600,-0.13800,0.22300,-0.05600,-0.07300,-0.10100,-0.09600,-0.09400,-0.10500
-0.06800,0.19300,0.26100,-0.06200,-0.16500,0.22700,-0.03800,-0.06600,-0.09700,-0.09100,-0.09000,-0.10500
-0.05000,0.17700,0.22800,-0.06300,-0.13900,0.20200,-0.03500,-0.06000,-0.08800,-0.09100,-0.09000,-0.10900
-0.03100,0.16100,0.19200,-0.06500,-0.11100,0.17600,-0.03500,-0.06800,-0.08700,-0.09500,-0.08800,-0.11000
-0.05100,0.16800,0.21900,-0.05900,-0.13500,0.19300,-0.03400,-0.07300,-0.09900,-0.09500,-0.08400,-0.11000
-0.03000,0.20700,0.23700,-0.08900,-0.13300,0.22200,-0.03600,-0.07800,-0.10800,-0.09800,-0.08500,-0.11000
-0.02100,0.20700,0.22800,-0.09300,-0.12500,0.21700,-0.04900,-0.08100,-0.11300,-0.10100,-0.08800,-0.11000
-0.03300,0.19200,0.22600,-0.08000,-0.13000,0.20800,-0.05100,-0.08700,-0.11900,-0.10400,-0.09100,-0.10800
-0.03700,0.18300,0.22000,-0.07300,-0.12900,0.20100,-0.04900,-0.09100,-0.12000,-0.10700,-0.09000,-0.10500
-0.04200,0.17400,0.21600,-0.06600,-0.12900,0.19500,-0.05000,-0.08900,-0.12000,-0.11000,-0.09000,-0.10500
-0.03900,0.17100,0.21000,-0.06600,-0.12500,0.19000,-0.05000,-0.09100,-0.12500,-0.11000,-0.09000,-0.10500
-0.04000,0.16400,0.20500,-0.06200,-0.12300,0.18400,-0.04900,-0.08800,-0.12500,-0.11000,-0.09000,-0.10500
-0.03800,0.16200,0.20000,-0.06200,-0.11900,0.18100,-0.04300,-0.09600,-0.12600,-0.11000,-0.09000,-0.10500
-0.03700,0.15500,0.19200,-0.06000,-0.11500,0.17400,-0.03500,-0.11100,-0.13000,-0.11000,-0.09000,-0.10900
-0.03800,0.15300,0.19100,-0.05800,-0.11500,0.17200,-0.03000,-0.11000,-0.12900,-0.10600,-0.09000,-0.11000
-0.04300,0.14500,0.18800,-0.05100,-0.11600,0.16700,-0.02200,-0.11000,-0.13200,-0.10500,-0.09000,-0.11000
-0.05100,0.14100,0.19200,-0.04500,-0.12100,0.16600,-0.01600,-0.11000,-0.13600,-0.10400,-0.09000,-0.11000
-0.03300,0.16300,0.19600,-0.06500,-0.11500,0.17900,-0.03000,-0.10900,-0.13400,-0.10100,-0.08600,-0.11000
-0.03800,0.15800,0.19600,-0.06000,-0.11700,0.17600,-0.03500,-0.11300,-0.13900,-0.09900,-0.08500,-0.10900
-0.03100,0.14800,0.17900,-0.05900,-0.10500,0.16300,-0.02500,-0.11500,-0.14000,-0.10100,-0.07900,-0.10500
-0.03100,0.13900,0.16900,-0.05400,-0.10000,0.15400,-0.02500,-0.11500,-0.14000,-0.11000,-0.08300,-0.10500
-0.06800,0.13600,0.20400,-0.03400,-0.13600,0.17000,-0.01700,-0.11500,-0.14400,-0.11200,-0.09600,-0.10200
-0.04600,0.16700,0.21300,-0.06100,-0.12900,0.19000,-0.01600,-0.11500,-0.14600,-0.10900,-0.09500,-0.09900
-0.04000,0.16800,0.20800,-0.06400,-0.12400,0.18700,-0.04500,-0.11500,-0.14400,-0.11100,-0.09500,-0.10000
-0.05200,0.16000,0.21200,-0.05400,-0.13200,0.18500,-0.05000,-0.11000,-0.13900,-0.11000,-0.09500,-0.09700
-0.05000,0.15900,0.20900,-0.05400,-0.13000,0.18400,-0.04000,-0.10500,-0.13400,-0.11000,-0.09500,-0.09100
-0.05900,0.15100,0.21000,-0.04600,-0.13400,0.18000,-0.04100,-0.10100,-0.13000,-0.10900,-0.09400,-0.08700
-0.05200,0.15000,0.20200,-0.05000,-0.12700,0.17600,-0.03100,-0.09600,-0.12500,-0.09500,-0.08200,-0.08200
-0.03800,0.15800,0.19600,-0.06000,-0.11700,0.17700,-0.03300,-0.08900,-0.11800,-0.08200,-0.07100,-0.07800
-0.01700,0.17300,0.19000,-0.07800,-0.10300,0.18100,-0.01900,-0.06400,-0.09800,-0.06200,-0.05300,-0.07200
0.00300,0.18400,0.18200,-0.09400,-0.09000,0.18300,-0.01700,-0.04000,-0.07000,-0.04000,-0.03000,-0.05400
0.02200,0.19900,0.17700,-0.11100,-0.07800,0.18800,0.01000,-0.02600,-0.03700,-0.03900,-0.02900,-0.03300
0.04100,0.20600,0.16500,-0.12300,-0.06300,0.18500,0.02500,0.00200,-0.02100,-0.04600,-0.03700,-0.03000
0.03700,0.17300,0.13600,-0.10600,-0.05000,0.15400,-0.04800,-0.04500,-0.06300,-0.05900,-0.03600,-0.05200
-0.01500,0.11100,0.12600,-0.04800,-0.07100,0.11800,-0.05200,-0.08900,-0.09100,-0.07500,-0.04600,-0.07300
-0.03200,0.10300,0.13500,-0.03500,-0.08400,0.11800,-0.03700,-0.08300,-0.07700,-0.06700,-0.04400,-0.06900
-0.05400,0.07000,0.12400,-0.00800,-0.09000,0.09700,-0.03800,-0.08400,-0.11100,-0.08900,-0.06800,-0.08400
-0.08400,0.05300,0.13700,0.01500,-0.11100,0.09400,-0.02800,-0.07400,-0.12500,-0.09800,-0.07200,-0.08500
-0.05300,0.06800,0.12200,-0.00700,-0.08800,0.09500,-0.02900,-0.09700,-0.12200,-0.09400,-0.07600,-0.08500
-0.06200,0.08000,0.14200,-0.00900,-0.10200,0.11100,-0.01800,-0.10300,-0.14000,-0.10500,-0.09200,-0.08800
-0.06900,0.09700,0.16600,-0.01400,-0.11700,0.13100,-0.02900,-0.11400,-0.10700,-0.07900,-0.07000,-0.07700
-0.11300,0.04300,0.15600,0.03500,-0.13500,0.09900,-0.01500,-0.03300,-0.10600,-0.10800,-0.08900,-0.10000
-0.08600,0.10400,0.19000,-0.00900,-0.13800,0.14700,0.00400,0.05100,0.05300,0.02900,0.01000,-0.03000
0.08000,0.21200,0.13200,-0.14600,-0.02600,0.17200,0.03300,0.13300,0.26500,0.21700,0.15400,0.08300
0.53700,0.52400,-0.01200,-0.53000,0.27400,0.25600,-0.15800,0.15500,0.72200,0.71200,0.55200,0.42300
0.78700,0.64800,-0.13900,-0.71700,0.46300,0.25400,-0.66100,-0.59600,0.60200,0.79300,0.61900,0.51800
0.23400,0.29800,0.06400,-0.26600,0.08500,0.18100,-0.74100,-1.12100,-0.58300,-0.12800,0.00200,0.06900
-0.09200,0.13200,0.22400,-0.02000,-0.15800,0.17800,-0.28800,-0.44300,-0.60000,-0.31100,-0.14800,-0.08800
-0.03500,0.08900,0.12400,-0.02700,-0.08000,0.10600,-0.04900,0.01600,-0.08500,-0.08800,-0.06500,-0.07400
-0.05000,0.08600,0.13600,-0.01800,-0.09300,0.11100,-0.04400,-0.04700,-0.12100,-0.10000,-0.07200,-0.08600
-0.03500,0.07800,0.11200,-0.02200,-0.07400,0.09500,-0.01700,-0.02700,-0.05600,-0.04400,-0.04200,-0.06600
-0.05700,0.04700,0.10400,0.00400,-0.08100,0.07500,-0.00800,-0.03200,-0.08000,-0.08900,-0.05800,-0.07500
-0.02600,0.07200,0.09800,-0.02400,-0.06200,0.08500,0.00500,-0.01900,-0.05300,-0.06700,-0.03600,-0.06000
-0.03000,0.05200,0.08200,-0.01100,-0.05600,0.06700,0.00600,-0.01400,-0.04700,-0.06500,-0.04100,-0.06300
-0.04000,0.04300,0.08400,-0.00200,-0.06200,0.06300,0.00900,-0.00900,-0.04100,-0.05300,-0.03100,-0.05300
-0.02000,0.04800,0.06800,-0.01400,-0.04400,0.05800,0.01000,0.00000,-0.02300,-0.04200,-0.02800,-0.05100
-0.02600,0.04200,0.06700,-0.00800,-0.04700,0.05400,0.00400,0.00200,-0.02600,-0.04300,-0.02300,-0.04700
0.02400,0.07800,0.05400,-0.05100,-0.01500,0.06500,0.00400,0.01300,-0.00700,-0.03200,-0.01700,-0.04000
0.02700,0.09700,0.07000,-0.06300,-0.02200,0.08300,-0.00100,0.01600,-0.00800,-0.03400,-0.01500,-0.03900
0.00000,0.08800,0.08800,-0.04500,-0.04400,0.08800,-0.00200,0.02600,0.00600,-0.02400,-0.00800,-0.03200
0.00500,0.08800,0.08300,-0.04700,-0.03900,0.08500,-0.00700,0.02900,0.00900,-0.02400,-0.00600,-0.03100
-0.00200,0.08500,0.08700,-0.04200,-0.04500,0.08600,0.00300,0.03500,0.01800,-0.01500,0.00100,-0.02600
0.00900,0.09200,0.08300,-0.05100,-0.03700,0.08700,0.00600,0.04000,0.02300,-0.00900,0.00400,-0.02200
0.01400,0.09500,0.08100,-0.05500,-0.03400,0.08800,-0.00600,0.04300,0.03600,-0.00300,0.00900,-0.02000
0.01800,0.11300,0.09500,-0.06600,-0.03900,0.10400,-0.01500,0.04800,0.05100,0.00500,0.01400,-0.01300
0.03400,0.10100,0.06700,-0.06800,-0.01700,0.08400,-0.02300,0.05300,0.06800,0.00900,0.01800,-0.00500
0.04100,0.06600,0.02500,-0.05400,0.00800,0.04500,-0.01200,0.08000,0.10500,0.02800,0.03700,0.00300
0.05000,0.06400,0.01500,-0.05700,0.01700,0.03900,-0.00800,0.10100,0.12700,0.04700,0.05000,0.01100
0.07000,0.08100,0.01100,-0.07600,0.02900,0.04600,-0.02200,0.10800,0.14700,0.06100,0.05200,0.02000
0.11700,0.10300,-0.01400,-0.11000,0.06500,0.04500,-0.02300,0.13500,0.17800,0.08700,0.07400,0.04000
0.16000,0.10600,-0.05500,-0.13300,0.10700,0.02500,-0.04800,0.14400,0.20800,0.10800,0.09500,0.06200
0.19100,0.10900,-0.08300,-0.15000,0.13700,0.01300,-0.07900,0.13800,0.23200,0.11500,0.10100,0.07600
0.19700,0.11500,-0.08200,-0.15600,0.13900,0.01700,-0.09000,0.13700,0.23600,0.12200,0.11100,0.08000
0.18300,0.11900,-0.06300,-0.15100,0.12300,0.02800,-0.11300,0.13200,0.23300,0.13300,0.11700,0.09800
0.22400,0.13800,-0.08600,-0.18100,0.15500,0.02600,-0.11900,0.13100,0.23900,0.13900,0.11200,0.10500
0.23900,0.14100,-0.09800,-0.19000,0.16800,0.02100,-0.11200,0.12900,0.23400,0.13500,0.10400,0.09100
0.20800,0.13800,-0.07000,-0.17300,0.13900,0.03300,-0.10200,0.12100,0.20900,0.12700,0.09800,0.08500
0.19900,0.11800,-0.08100,-0.15800,0.14000,0.01800,-0.05700,0.11200,0.17000,0.11800,0.08900,0.07500
0.14900,0.06600,-0.08300,-0.10700,0.11600,-0.00900,-0.01500,0.10300,0.12500,0.09300,0.08300,0.06600
0.07600,-0.00300,-0.07900,-0.03600,0.07700,-0.04100,0.02000,0.09400,0.08500,0.06700,0.07300,0.05300
0.01800,-0.04500,-0.06200,0.01400,0.04000,-0.05300,0.05600,0.08000,0.04400,0.04700,0.06000,0.03300
-0.03400,-0.04600,-0.01100,0.04000,-0.01100,-0.02800,0.06000,0.06500,0.02100,0.03000,0.05200,0.01200
-0.03800,-0.06800,-0.03100,0.05300,-0.00300,-0.04900,0.06100,0.05100,0.01600,0.01600,0.04600,0.00000
-0.02000,-0.07900,-0.05900,0.05000,0.02000,-0.06900,0.05800,0.04100,0.00600,0.00600,0.03900,-0.00100
-0.04500,-0.09100,-0.04700,0.06800,0.00200,-0.06900,0.06500,0.03800,-0.00100,0.00100,0.03300,-0.00500
-0.05500,-0.09700,-0.04200,0.07600,-0.00600,-0.06900,0.08400,0.03400,-0.00800,-0.00400,0.02500,-0.00800
-0.02500,-0.07500,-0.05000,0.05000,0.01300,-0.06300,0.08100,0.03200,-0.01400,-0.00700,0.01700,-0.01000
-0.01400,-0.07600,-0.06200,0.04500,0.02500,-0.06900,0.07400,0.02500,-0.01000,-0.01300,0.01100,-0.01000
-0.01800,-0.07400,-0.05700,0.04600,0.02000,-0.06500,0.07100,0.02800,-0.01000,-0.01400,0.00300,-0.01000
-0.02000,-0.07500,-0.05500,0.04800,0.01800,-0.06500,0.06200,0.04500,-0.00900,-0.01000,-0.00500,-0.01000
-0.02300,-0.07500,-0.05200,0.04900,0.01500,-0.06300,0.06200,0.04300,-0.00500,-0.00800,-0.00900,-0.01000
-0.02900,-0.07500,-0.04600,0.05200,0.00900,-0.06000,0.07400,0.03800,-0.00600,-0.00500,-0.00300,-0.01000
-0.03100,-0.07300,-0.04200,0.05200,0.00600,-0.05700,0.07400,0.03700,-0.00300,-0.00100,0.00400,-0.01000
-0.02300,-0.06200,-0.03900,0.04300,0.00800,-0.05000,0.06800,0.03000,0.00000,0.00000,0.01100,-0.00500
-0.04900,-0.05900,-0.01100,0.05400,-0.01900,-0.03500,0.06700,0.03200,0.00000,-0.00300,0.01800,-0.00500
-0.05500,-0.06100,-0.00600,0.05800,-0.02400,-0.03300,0.05900,0.04500,0.00000,-0.00800,0.02400,-0.00400
-0.02300,-0.05900,-0.03600,0.04100,0.00700,-0.04800,0.06400,0.04300,0.00000,-0.00900,0.02200,0.00000
-0.02100,-0.06100,-0.04000,0.04100,0.01000,-0.05000,0.07000,0.03900,0.00000,-0.00500,0.01700,0.00000
-0.00400,-0.06000,-0.05500,0.03200,0.02500,-0.05700,0.06300,0.03600,-0.00500,-0.00500,0.01500,-0.00200
0.00300,-0.05800,-0.06100,0.02800,0.03200,-0.06000,0.05500,0.03100,-0.01000,-0.00400,0.01000,-0.00600
-0.00200,-0.05500,-0.05300,0.02900,0.02600,-0.05400,0.05000,0.02900,-0.01400,-0.01200,0.00700,-0.00900
-0.00200,-0.05400,-0.05200,0.02800,0.02500,-0.05200,0.04300,0.02500,-0.01900,-0.02500,0.00300,-0.01300
-0.01500,-0.06500,-0.04900,0.04000,0.01700,-0.05600,0.04800,0.02300,-0.02300,-0.02400,0.00000,-0.01500
-0.01000,-0.05700,-0.04700,0.03400,0.01900,-0.05200,0.06400,0.02000,-0.02600,-0.02600,0.00000,-0.01000
-0.02800,-0.07200,-0.04400,0.05100,0.00800,-0.05800,0.06000,0.01700,-0.02400,-0.02900,-0.00300,-0.01000
-0.05000,-0.09400,-0.04400,0.07200,-0.00300,-0.06800,0.05100,0.01400,-0.02600,-0.03000,-0.00500,-0.01000
-0.04700,-0.08200,-0.03500,0.06500,-0.00600,-0.05800,0.04700,0.01200,-0.03300,-0.03000,-0.00500,-0.01000
-0.05100,-0.08100,-0.03000,0.06700,-0.01100,-0.05600,0.03800,0.00900,-0.03600,-0.03000,-0.00800,-0.01000
-0.05500,-0.07700,-0.02200,0.06600,-0.01600,-0.04900,0.03600,0.00600,-0.04200,-0.03000,-0.01400,-0.01200
-0.05400,-0.07100,-0.01600,0.06300,-0.01900,-0.04300,0.04200,0.00300,-0.04600,-0.03000,-0.01800,-0.01900
-0.06100,-0.07100,-0.00900,0.06600,-0.02600,-0.04000,0.04900,0.00000,-0.05000,-0.03100,-0.02300,-0.02500
-0.02400,-0.01700,0.00700,0.02100,-0.01500,-0.00500,0.04700,-0.00100,-0.05800,-0.02800,-0.02700,-0.02300
0.00900,0.01500,0.00500,-0.01200,0.00200,0.01000,0.04200,-0.01700,-0.06300,-0.04600,-0.03200,-0.03400
-0.04300,-0.01900,0.02400,0.03100,-0.03300,0.00200,0.04000,-0.03500,-0.06500,-0.06300,-0.03500,-0.04600
-0.05600,-0.02100,0.03500,0.03800,-0.04500,0.00700,0.03500,-0.03400,-0.06500,-0.05900,-0.03500,-0.04700
-0.04800,-0.01400,0.03400,0.03100,-0.04100,0.01000,0.03200,-0.03600,-0.06500,-0.06300,-0.03700,-0.05000
-0.05300,-0.01100,0.04200,0.03200,-0.04800,0.01600,0.02800,-0.04000,-0.06500,-0.06600,-0.04100,-0.05400
-0.02000,0.01700,0.03600,0.00100,-0.02800,0.02600,0.02100,-0.04000,-0.07000,-0.06400,-0.03900,-0.05500
-0.02200,0.03300,0.05500,-0.00600,-0.03900,0.04400,0.01100,-0.03900,-0.06900,-0.07000,-0.03800,-0.05600
-0.03700,0.03500,0.07100,0.00100,-0.05400,0.05300,0.00400,-0.03200,-0.07600,-0.06900,-0.03300,-0.05400
-0.03900,0.05600,0.09400,-0.00900,-0.06700,0.07500,-0.00800,-0.04900,-0.09100,-0.07200,-0.03200,-0.05600
-0.02500,0.10300,0.12700,-0.04000,-0.07600,0.11500,-0.02500,-0.05900,-0.08200,-0.08300,-0.02800,-0.05400
0.00400,0.14400,0.14000,-0.07500,-0.06800,0.14200,-0.01600,-0.04300,-0.07700,-0.06700,-0.02500,-0.05500
0.00600,0.14800,0.14200,-0.07700,-0.06900,0.14500,0.01200,-0.03000,-0.05900,-0.02800,-0.02400,-0.05400
